title,artist,spotifyURL
Mi amigo el payaso,Willie Rosario,https://open.spotify.com/track/51InsKGmox8AzUOnTygpTa
Trucutu,Tommy Olivencia,https://open.spotify.com/track/64g9DmjfX5oZ2MZ3Dnv5oY
Aprende a querer,Los Maraqueros,https://open.spotify.com/track/14Ud5MkZ545vb2KXz9fZXW
Hong Kong mambo,Tito Puente,https://open.spotify.com/track/1QLC5yG0vyDMXsShhpsGsX
The don Jose Pachanga,Sexteto La Plata,https://open.spotify.com/track/40MtH3JlTVMUlWX6y9zmct
Guajira y son,Sexteto Juventud,not found
Cartagena,Don Gonzalo Fernandez,https://open.spotify.com/track/7jK38ByRpsWyveWkzRgA2i
Caballo viejo,Roberto Torres,https://open.spotify.com/track/1anvIYY3hAtLL72lJA5z44
Gan gan y gan gon,Richie Ray & Bobby Cruz,https://open.spotify.com/track/720YcfJfcMrRgn42LCdZZt
El que siembra su maiz,Oscar D' Leon,https://open.spotify.com/track/6twkbk7nborAviztg3eTH9
Candela,Orquesta La Conquistadora,https://open.spotify.com/track/4GNdG2GTECFQb3ybkbgSnh
Cogele el golpe,Cachao,https://open.spotify.com/track/0lunMiZlsZ7U854GvHMyVZ
Dilema,Johnny Ventura,https://open.spotify.com/track/5SOpWUw80uaYgOBCOjuY0V
Vuelve,Andy Montañez,https://open.spotify.com/track/7wk0sxpcNrjY448B6uizAJ
Este es,Johnny El Bravo,https://open.spotify.com/track/7mBzEoM1uUwWIN2SMkwck5
Naci moreno,Bobby Valentin,https://open.spotify.com/track/6qPJyX7IRJ4aFuUDGIX3lg
Soy sensacional,Larry Harlow,https://open.spotify.com/track/28tIwbYX1oh1NVZeaWfMJq
Plena Española,El Klan De Porfi,https://open.spotify.com/track/0sdccC61RQDVHTRYVrB5LA
Voy,Orquesta Broadway,https://open.spotify.com/track/2kKs7ZiMucAcIrB55roU46
Te regalo el corazon,Gran Combo De Puerto Rico,https://open.spotify.com/track/6JTuTBQwY6SwCx0HzdZVjV
Saraguay santoja,Angel Canales,https://open.spotify.com/track/1lcgnuJJrwJOmqLRwBkGCu
Ya llego la pachanga,Joe Quijano,https://open.spotify.com/track/1pxv6O4wEwQhZh0t3NuxHf
Mississippi Mambo,Noro Morales,https://open.spotify.com/track/0n3umry97115V9PO2K6JrV
Guasasa,Larry Harlow,https://open.spotify.com/track/2DLUhOws1KOlkFdJOIwlol
